component,field_or_rule,implementation
Life-stage fish use,LS_corrected_score,Source score divided by the maximum source score; ranges from 0 to 1.
Source life-stage fish use,LS_corrected_score_source,Retained for audit; not used directly in impact or risk.
Species fish use,species_aggregate_score,Context only; not a direct multiplier.
BSR fish use,fish_use_score_decimal,Context only; not a direct multiplier.
Population priority,population_priority,Risk equals impact multiplied by priority.
Limiting-factor condition,condition_score,Raw 1 maps to 0.01 and 5 maps to 1.0.
Vulnerability,vulnerability_score,Rank 1 maps to 1.0 and 15 maps to 0.01.
Combined migration,maximum vulnerability_score,Uses the higher adult or juvenile value.
LFAT,lfat_score,Directness multiplied by frequency.
BSR identifiers,bsr,Fish-use and condition files use the same identifiers.
