score_group,score_name,output_field,category,theoretical_maximum,calculation,assumptions
Level 1 risk,Overall risk score,overall_risk_score,,45.0,15 limiting factors × maximum basin-wide population-priority total (3),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained."
Level 1 risk,Species risk score,species_scores.risk_score,Bull Trout,15.0,15 limiting factors × maximum configured Bull Trout priority total (1),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained."
Level 1 risk,Species risk score,species_scores.risk_score,Chinook,15.0,15 limiting factors × maximum configured Chinook priority total (1),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained."
Level 1 risk,Species risk score,species_scores.risk_score,Steelhead,15.0,15 limiting factors × maximum configured Steelhead priority total (1),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained."
Level 1 risk,Highest species/life-stage risk score,top_species_life_stage_risk_score,,9.0,15 limiting factors × maximum life-stage population priority (0.6),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained."
Level 1 risk,Highest limiting-factor risk score,top_limiting_factor_risk_score,,3.0,1 limiting factor × maximum basin-wide population-priority total (3),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained."
Level 2 benefit,Action-type benefit score,action_type_scores.action_benefit_score,Fish Passage – Barrier Removal and Replacement,7.14,Maximum limiting-factor risk (3) × summed LFAT weight (2.38),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Action-type benefit score,action_type_scores.action_benefit_score,Floodplain – Reconnect and Restore,20.46,Maximum limiting-factor risk (3) × summed LFAT weight (6.82),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Action-type benefit score,action_type_scores.action_benefit_score,Instream Complexity Improvement,13.77,Maximum limiting-factor risk (3) × summed LFAT weight (4.59),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Action-type benefit score,action_type_scores.action_benefit_score,Instream Flow Restoration,12.96,Maximum limiting-factor risk (3) × summed LFAT weight (4.32),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Action-type benefit score,action_type_scores.action_benefit_score,Nutrient Enhancement,4.260000000000001,Maximum limiting-factor risk (3) × summed LFAT weight (1.42),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Action-type benefit score,action_type_scores.action_benefit_score,Protect Land (Easement and Acquisition),9.600000000000001,Maximum limiting-factor risk (3) × summed LFAT weight (3.2),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Action-type benefit score,action_type_scores.action_benefit_score,Riparian Vegetation Restoration,17.04,Maximum limiting-factor risk (3) × summed LFAT weight (5.68),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Action-type benefit score,action_type_scores.action_benefit_score,Species Management (non-native or unnatural),6.39,Maximum limiting-factor risk (3) × summed LFAT weight (2.13),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Action-type benefit score,action_type_scores.action_benefit_score,"Thermal Refuge Enhancement (reconnect, expand)",7.470000000000001,Maximum limiting-factor risk (3) × summed LFAT weight (2.49),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Action-type benefit score,action_type_scores.action_benefit_score,Upland Treatments,5.49,Maximum limiting-factor risk (3) × summed LFAT weight (1.83),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Action-type benefit score,action_type_scores.action_benefit_score,Water Quality Improvement (not including temperature),5.58,Maximum limiting-factor risk (3) × summed LFAT weight (1.86),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Highest action benefit score,highest_action_benefit_score,,20.46,Maximum theoretical action-specific benefit score,"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
Level 2 benefit,Overall benefit score,overall_benefit_score,,110.16,Maximum limiting-factor risk (3) × total LFAT weight across all actions (36.72),"Normalized fish use, limiting-factor condition, and vulnerability are all 1; configured population priorities are retained. Configured LFAT weights are retained; action IDs sharing a type are summed."
